Timestamp,CPU_Total%,Core0%,Core1%,Core2%,Core3%,Core4%,Core5%,Core6%,Core7%,Core8%,Core9%,Core10%,Core11%,Core12%,Core13%,Core14%,Core15%,Core16%,Core17%,Core18%,Core19%,Core20%,Core21%,Core22%,Core23%,Core24%,Core25%,Core26%,Core27%,Core28%,Core29%,Core30%,Core31%,GPU_3D%,GPU_Copy%,GPU_Decode%
2026-06-09 18:48:10,19.9,27.6,0,30.7,0,30.7,0,27.6,0,75.3,0,83.1,0,26,0,32.2,0,70.7,55.3,47.6,35.3,15.3,44.5,13.7,18.3,2.9,1.4,1.4,1.4,1.4,1.4,1.4,2.9,0,0,0
2026-06-09 18:48:11,29.4,35.1,1.1,45.9,1.1,21.2,2.7,27.4,2.7,70.6,5.7,66,2.7,36.7,4.2,33.6,2.7,61.4,87.6,59.8,64.5,69.1,53.6,44.4,28.9,28.9,18.1,16.6,13.5,7.3,7.3,10.4,8.8,0.8,5.1,0
2026-06-09 18:48:12,31.3,32.2,1.4,35.3,1.4,24.5,22.9,29.1,2.9,80,6,89.2,2.9,35.3,2.9,49.1,1.4,46.1,61.5,87.7,59.9,46.1,41.4,39.9,46.1,26,18.3,16.8,9.1,19.9,19.9,27.6,19.9,0.8,5.1,0
2026-06-09 18:48:13,16.3,6.8,0,8.4,0,6.8,0,8.4,0,75.1,0,78.3,0,9.9,0,22.3,0,42.5,65.8,55,58.1,44.1,22.3,36.3,13,0,2.1,0,0,0,0.6,0,0,0.8,5.1,0
2026-06-09 18:48:14,24.1,20.6,0,29.9,0,14.3,0,23.7,0,70.4,0,65.7,0,28.3,0,29.9,0,75.1,61.1,62.6,56.4,51.7,51.7,40.8,37.7,17.4,8.1,9.6,14.3,5,5,1.9,0.3,0.8,5.1,0
2026-06-09 18:48:16,11.1,8.2,0.4,6.6,1.9,6.6,0,3.5,1.9,23.7,0,44,0,5,0,6.6,0,59.5,44,53.3,37.7,30,19.1,12.8,5,0.4,0,0,0,0,0,0,0.4,0.6,3,0
2026-06-09 18:48:17,29.7,40.8,1.9,43.9,6.5,34.6,0,45.5,0,86,1.9,87.5,0,53.3,0,43.9,0,42.4,45.5,59.5,68.8,40.8,54.8,53.3,40.8,15.9,22.1,15.9,14.3,9.6,8.1,17.4,0.3,0.6,3,0
2026-06-09 18:48:18,31.5,55.3,0,59.9,0,41.4,2.9,36.8,1.4,90.8,2.9,92.3,4.5,41.4,1.4,50.7,1.4,59.9,50.7,67.6,55.3,46.1,50.7,44.5,46.1,16.8,16.8,16.8,15.2,18.3,10.6,6,10.6,0.6,3,0
2026-06-09 18:48:19,19.4,21,2.5,19.5,0.9,8.7,0.9,13.3,0.9,75.2,0.9,45.8,0,8.7,0,21,0.9,45.8,41.2,58.2,56.6,52,39.6,31.9,30.3,10.2,4,10.2,5.6,0.9,13.3,2.5,2.5,0.6,3,0
2026-06-09 18:48:20,19.9,17.9,0.8,27.2,0,17.9,0.8,19.4,0,48.9,0.8,58.2,2.4,13.2,2.4,16.3,2.4,56.6,72.1,53.5,50.4,39.6,50.4,27.2,21,11.7,3.9,5.5,3.9,2.4,10.1,2.4,2.4,0.4,4.5,0
2026-06-09 18:48:21,16.4,35,0.9,14.9,2.5,10.2,2.5,2.5,2.5,53.6,2.5,87.6,2.5,8.7,2.5,8.7,2.5,45.8,47.4,62.9,41.2,28.8,14.9,14.9,4,7.1,2.5,2.5,2.5,2.5,2.5,2.5,4,0.4,4.5,0
2026-06-09 18:48:22,19.6,18.4,0,12.2,0,15.3,0,6,0,44.5,38.4,84.6,15.3,2.9,6,12.2,0,35.3,63,50.7,70.7,56.9,46.1,36.8,23,10.6,1.4,2.9,1.4,0,1.4,0,1.4,0.4,4.5,0
2026-06-09 18:48:23,22.6,13,0,25.4,0,20.8,0,19.2,0,0,50.3,47.2,0,0,22.3,9.9,0,48.7,84.5,72,70.5,59.6,61.2,58.1,53.4,23.9,16.1,19.2,8.3,9.9,3.7,9.9,5.2,0.4,4.5,0
2026-06-09 18:48:24,34.2,39.1,0,53.1,6.3,43.8,1.6,39.1,1.6,1.6,76.6,79.7,0,1.6,34.4,37.5,17.2,62.5,78.1,82.8,71.9,64.1,60.9,67.2,71.9,31.3,18.8,20.3,7.8,12.5,7.8,6.3,4.7,0.8,3,0
